Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00756,Ediacaran dyke structures,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00757,Ediacaran-Lower Cambrian contact,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00758,"Lower Cambrian ""Brèche à Micmacca""",Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00759,Middle Cambrian Paradoxides-type trilobites,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00760,Middle Cambrian regression sequences,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00761,Lower Ordovician oncolite structures,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00762,Middle Ordovician burrows and oolitic iron,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00763,Upper Ordovician bioturbation and karstification,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00764,Upper Ordovician sequences and faults,Moderate,High,"El Ouali et al. 2026, Int. J. Geoheritage & Parks 14(1):127-146 (open access, DOI 10.1016/j.ijgeop.2026.01.003) -- Section 4.3 states directly: ""the nine geosites are logistically convenient; they can be visited in one to two days and are easily accessible on foot from the Imiter mining road, which connects to the N10 national road to the north. This provides convenient access for students and researchers."" All 9 sites require walking (1.5-4.8km from paved N10 per Dist_to_Highway_m) from an accessible mining road, not roadside/drive-up -- Moderate rather than Easy despite the paper calling it ""easily accessible."""
loc_00765,Visean–Infra-Cenomanian unconformity,Easy,Medium,"OSM/Nominatim reverse geocoding places this point directly on RN10 (tagged highway=primary), within the 'Nouvelle Tinghir' area of Ouaklim village, caïdat de Toudgha -- the entrance to the Tinghir-Todra Gorge corridor, independently documented by multiple tourism/hiking sources (Wikipedia, Komoot, travel guides) as a paved route ~15km/~20min drive from Tinghir. Source paper (El Ouali et al., 2026b) not accessible online to confirm its own access description."
loc_00766,Quaternary fluvial terraces,Easy,Medium,"OSM/Nominatim reverse geocoding places this point directly on RN10 (highway=primary) within Ouaklim village/Nouvelle Tinghir, same paved Tinghir-Todra Gorge corridor as loc_00765. Source paper (El Ouali et al., 2026b) not accessible online for its own access description."
loc_00767,Infra-Cenomanian gypsum & Quaternary travertine,Easy,Medium,"OSM/Nominatim reverse geocoding places this point directly on RN10 (highway=primary) within Ouaklim village/Nouvelle Tinghir, same paved corridor as loc_00765/766. Source paper (El Ouali et al., 2026b) not accessible online for its own access description."
loc_00768,Cenomanian–Turonian lithified and flint-rich limestone,,,"OSM/Nominatim shows only an unclassified local track here (still within Ouaklim village bounds), not a named/paved road. Source paper (El Ouali et al., 2026b) not indexed on ScienceDirect/ResearchGate/Google; no Wikiloc/Komoot/tourism coverage found for this specific stop. Insufficient independent evidence beyond the GIS distance figure; left unlabeled rather than guess."
loc_00769,Senonian–Neogene basalt unconformity,,,"1.5km from the highway per GIS, likely up a hillside away from Ouaklim village. No independent source found: the source paper (El Ouali et al., 2026b) is not indexed/accessible online, and no hiking/tourism source covers this specific location. Left unlabeled."
loc_00770,Neogene volcano-sedimentary deposits,,,"2.2km from the highway per GIS, farthest of the 7 sites, presumably highest on the stratigraphic traverse. No independent source found beyond the unreachable source paper and general regional tourism pages that do not reach this specific stop. Left unlabeled."
loc_00771,Paleocene fossiliferous limestone,,,"1.9km from the highway per GIS. Same search limitations as loc_00769/loc_00770 -- source paper not accessible online, no independent trail/tourism source found for this exact point. Left unlabeled."
loc_00747,Plain of Fezouata Shales,Easy,Medium,"Fezouata Shales outcrop cluster (Ternata Plain, geosites TER-PAL01-03) in Lahmidi (2021 PhD thesis, Fac. Sciences Rabat, underlying Lahmidi et al. 2020 Bani Geopark inventory, open access via toubkal.imist.ma/handle/123456789/33359). Source states several outcrops lie 'a moins de 100m de la route goudronnee' and that easy access is why fossil vendors dig there freely; 1.3km to highway fits this easily-accessed subset."
loc_00748,Fossiliferous outcrop of Fezouata Shales 1,Moderate,Medium,Part of the same Fezouata Shales outcrop cluster (Lahmidi 2021 thesis). The source explicitly flags one outcrop of this group (TER-PAL03) as having comparatively 'acces plus difficile' than the roadside sites. At 2.8km from the paved road this outcrop requires an unpaved-track stretch beyond the near-road outcrops.
loc_00749,Fossiliferous outcrop of Fezouata Shales 2,Easy,Medium,"Within the Fezouata Shales cluster (Lahmidi 2021 thesis), which states some outcrops (e.g. TER-PAL03) sit 'a moins de 100m de la route goudronnee.' At 577m from the highway, this outcrop matches that near-road, easily reached subset."
loc_00750,Fossiliferous outcrop of Fezouata Shales 3,Moderate,Medium,"Northernmost/most remote outcrop of the Fezouata Shales cluster (Lahmidi 2021 thesis). At 4.7km from the paved road it lies well beyond the roadside outcrops, consistent with the source's note that some Fezouata outcrops (TER-PAL03) have comparatively difficult, off-road access."
loc_00751,Block1: Condensed series / Block 2: Hardground,Moderate,Medium-High,"Matches the 'Bloc greseux de Zini' geosite pair in Lahmidi (2021 thesis): BEN-STR02 described as a 'serie condensee' and BEN-STR03 as a 'hard-ground siliciclastique', both noted as being in direct contact with the BEN-PAL01 Fezouata fossil outcrop. Reached via track off the Zagora-area roads, same general access class as the adjacent fossil sites."
loc_00752,Desert landforms 1,Moderate,Medium,"Matches the erg/reg geomorphological geosite category in Lahmidi (2021 thesis): source states these desert-landform sites are 'plus loin de la route goudronnee. Cependant, toutes ces zones sont facilement abordables depuis des pistes par des voiture tout terrain' (farther from pavement but easily reached by 4x4 off-road vehicle via track) -- standard desert-tour access, consistent with this site's 10km remoteness from any paved road."
loc_00753,Desert landforms 2,Moderate,Medium,"Same erg/reg geomorphological geosite category (Lahmidi 2021 thesis), which notes sites like ELI-GEO01 are 'pas loin de cette route nationale' yet still reached via piste/off-road vehicle rather than pavement. At 1.8km from the highway this fits that closer-in subset of desert-landform geosites."
loc_00754,The members of the first Bani are horizontal,Easy,High,"Matches geosite TAG-GEO03 in Lahmidi (2021 thesis): a Premier Bani cuesta observation point explicitly stated to be 'un paysage bien visible depuis de nombreux endroits le long de la route nationale qui connecte Tagounite a M'hamid El Ghizlane' -- i.e. visible and reached directly from the paved N9 national road, matching this site's 540m distance to the highway."
loc_00755,The first Bani constitutes a natural bar that blocks sand deposits,Easy,High,"Near-verbatim match to geosite TER-GEO04 in Lahmidi (2021 thesis), described as 'une barriere naturelle qui bloque l'action de vent' -- the same 'natural bar blocking sand' framing as the geosite name. The source notes a tourist camp was installed at this site specifically because of the sand accumulations, indicating routine vehicle/tour access despite being off the paved road (2.5km)."
loc_00454,wadi Ziz canyon,Easy,High,"Within the Gorges du Ziz, traversed directly by the paved N13 highway (~55km Errachidia-Kerrandou) with marked lookout points/photo stops along the road itself; described as a must-do scenic drive (dangerousroads.org, Voyage-Maroc, Hertz Morocco 'Wonders of Ziz Valley')."
loc_00455,Hammat Moulay Ali Cherif,Easy,High,"Developed thermal spa resort overlooking the Ziz gorges, with pools and sanitary blocks, 10dh entrance, recently renovated (Medias24, Sept 2024 'La station thermale Moulay Ali Cherif fait peau neuve'); organized day tours run there from Casablanca, confirming vehicle road access."
loc_00456,Hassan Addakhil Dam Lake,Easy,High,"Named, well-documented reservoir/lake just outside Errachidia on the Ziz; multiple tourism sources describe a walking trail down to the lake edge and it as a standard scenic stop on the Errachidia-Erfoud route (ThirdRockTourist, Expedia attraction listing, Wikipedia Ziz Gorges, dangerousroads.org)."
loc_00457,Tunnel Zaabel,Easy,High,"The Tunnel du Légionnaire/Zaabel (built by the French, 1927-28) is a passage carved directly into the N13 highway through the gorge -- it IS the road (2m to highway confirms this); documented as a standard photo stop for anyone driving the gorge (zizvalley.com, maroc.eklablog.net, Wikipedia Ziz Gorges)."
loc_00458,Ziz Valley Ait Atmane,Easy,Medium,"Ait Atmane is one of 8 roadside ksour (villages) strung along the paved Gorges du Ziz corridor between the Zaabel tunnel and Hassan Addakhil dam (multiple Ziz Valley travel guides); at least one hotel (Palma Ziz) is located in the village per booking listings, confirming vehicle road access."
loc_00459,Waterfall,,Low,"No credible independent source found naming/describing a waterfall at this exact location near Ait Atmane. Searched 'cascade vallee du Ziz', 'chute d'eau Ait Atmane', Wikiloc, Wikipedia Ziz Gorges/Ziz River, dangerousroads.org -- no match. Left unlabeled."
loc_00772,Geosite 1,,,"Cited source is Milu et al. 2019 (Geoheritage of the Anti-Atlas, Morocco), presented as a POSTER (confirmed via Univ. Bucharest symposium program) at Geosciences in the 21st Century, pp.126-130. Full text/figures blocked by ResearchGate anti-bot on all access attempts; no mirror found elsewhere. Because the paper was a poster (likely just a locator map, no per-site table), site identity and access could not be recovered from any real source. Left unlabeled rather than guessed."
loc_00773,Geosite 2,,,Same Milu et al. 2019 poster source as loc_00772 (full text inaccessible). No independent source found describing this specific point's identity or access. Left unlabeled.
loc_00774,Geosite 3,,,"Same Milu et al. 2019 poster source (inaccessible). Sits essentially on a paved road (Dist_to_Highway_m=3) but proximity alone is a GIS artifact, not a substitute for knowing what the site is; no description of the actual feature found. Left unlabeled."
loc_00775,Geosite 4,Moderate,Medium,"Milu et al. 2019 poster (full text now available): Figure 3 shows ""Outcrop of Late Ediacaran stromatolites on the left side of the road Ouarzazate-Zagora, at about 25 km from Ouarzazate."" loc_00775 is 15.6km from Ouarzazate along the correct SE bearing toward Zagora (lon/lat both shift toward Zagora direction) -- same road, roadside outcrop per the poster text, though the stated distance (25km) is somewhat farther than the GPS-derived 15.6km; Dist_to_Highway_m=324m is consistent with a roadside stop."
loc_00776,Geosite 5,Easy,Medium-High,"Milu et al. 2019 poster (full text now available): Figure 4 shows ""Volcanic structures belonging to the Ouarzazate Supergroup... occurring at about 30 km South-East of Ouarzazate. Northeastward view from the road Ouarzazate-Zagora."" loc_00776 is 34.2km from Ouarzazate along the correct SE bearing toward Zagora -- strong distance and direction match. Described as viewed directly from the road."
loc_00777,Geosite 6,,,Same Milu et al. 2019 poster source (inaccessible). Well off any major road (Dist_to_Highway_m=10483). No independent source identifying this specific point was found. Left unlabeled.
loc_00778,Geosite 8,,,"Same Milu et al. 2019 poster source (inaccessible; 'Geosite 7' absent from source numbering, not an error). No independent source identifying this specific point or its access was found. Left unlabeled."
loc_00779,Geosite 9,,,"Same Milu et al. 2019 poster source (inaccessible). Geographically distinct from the other 7 sites (western Anti-Atlas, Foum Zguid/Tata corridor). No independent source identifying this specific point or its access was found. Left unlabeled."
loc_00739,Panorama of the Atlas Front,Easy,Medium,"Part of the Si Mhamdi et al. 2023 (Geoheritage 15:45) Errachidia 'Pedagogic and Geotouristic Trail', ~5km N of Errachidia town, explicitly designed for student/tourist accessibility; 42m from paved road consistent with a roadside viewpoint stop; full paper text paywalled so no direct site quote available."
loc_00740,South Atlas Fault,Easy,Medium,"Regional Errachidia stratigraphy literature states the High Atlas rises abruptly north of the South Atlas Fault right at the edge of Errachidia town, matching this site's position; included in Si Mhamdi et al. 2023 Errachidia geotouristic trail; 40m from paved road."
