Locality_ID,Geosite_Name,Region,Reference,Title
loc_00454,wadi Ziz canyon,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00455,Hammat Moulay Ali Cherif,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00456,Hassan Addakhil Dam Lake,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00457,Tunnel Zaabel,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00458,Ziz Valley Ait Atmane,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00459,Waterfall,Drâa-Tafilalet,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification
loc_00739,Panorama of the Atlas Front,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00740,South Atlas Fault,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00741,Jbel Hamdoun Anticline Structure,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00742,Jurassic/Cretaceous Contact,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00743,Perched Syncline Between Two Atlassic Faults,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00744,Ait Atmane Fault (Amzouj Fault),Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00745,Panorama of El Hassan Addakhil Dam,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00746,Dermchane Waterfall,Drâa-Tafilalet,"Si Mhamdi et al., 2023","Enhancing the Geological Heritage of the Errachidia Area in the High Atlas, Morocco: Inventory and a Proposal for a Pedagogic and Geotouristic Trail"
loc_00747,Plainof Fezouata Shales,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00748,Fossiliferous outcropof Fezouata Shales 1,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00749,Fossiliferous outcropof Fezouata Shales 2,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00750,Fossiliferous outcropof Fezouata Shales 3,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00751,Block1: Condensed series Block 2: Hardground,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00752,Desert landforms 1,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00753,Desert landforms 2,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00754,The members of the first Bani are horizontal,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00755,The first Bani constitutes a naturalbar that blocks sand deposits,Drâa-Tafilalet,"Lahmidi et al., 2020","First inventory and assessment of the Geoheritage of Zagora province
from the project Bani Geopark (South-Eastern Morocco)"
loc_00756,Ediacaran dyke structures,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00757,Ediacaran-Lower Cambrian contact,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00758,Lower Cambrian “Brèche à Micmacca”,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00759,Middle Cambrian Paradoxides-type trilobites,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00760,Middle Cambrian regression sequences,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00761,Lower Ordovician oncolite structures,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00762,Middle Ordovician burrows and oolitic iron,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00763,Upper Ordovician bioturbation and karstification,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
