Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00304,"Beautiful views of the lake, the outlet and the meanders of Ahansal river",Moderate,Medium,"Rafting/kayak tour operators describe the Ahansal Gorge as a class-III whitewater run through ~200m-deep gorges reached by road to Bin El Ouidane dam; roadside meander viewpoint is a short detour from paved access, not the gorge itself."
loc_00307,Coffee built on the massive limestone of BIII,Moderate,Medium,"Same Ahansal gorge/dam-area context as loc_00304 -- paved road access to Bin El Ouidane, short detour to viewpoint."
loc_00306,Continental Guettioua Fm on the marine Fm BIII with a gap in the Tilougite Fm,Moderate,Medium,"Same Ahansal gorge/dam-area context -- reached via paved road to Bin El Ouidane, short detour."
loc_00244,Oued Ahençal river,Moderate,Medium,"Ahansal Gorge documented as a rafting/kayak run reached by road to the dam; viewpoint access is a short walk off pavement, gorge floor itself would be harder but this is a lookout entry."
loc_00305,Panoramic view of the meanders,Moderate,Medium,Same Ahansal gorge/dam-area viewpoint context as loc_00304.
loc_00313,"Limestone banks rich in fossils of gastropods, lamellibranch, brachio pods, ammonites, & places polypiers in the Ouaouizaght syncline",Moderate,Medium,"Ait Attab syncline geosite inventory (Quaestiones Geographicae 2023) describes 8 geosites near Ouaouizaght reachable via marked geotrails; no stop-specific text but regional access is trail-based, not remote."
loc_00312,"Oblique, cross-stratification, bioclasts of brachiopods & lamellibranchs on granary stone",Moderate,Medium,Same Ait Attab syncline marked-geotrail context as loc_00313.
loc_00311,Well-distinguished fault making contact between the Fm m. BIII & the Guettioua Fm,Moderate,Medium,Same Ait Attab syncline marked-geotrail context as loc_00313.
loc_00310,Deep gorges in Fm BIII limestones from the Assif Assemssil river,Moderate,Medium,"Ait Attab syncline paper names the Assif Assemssil area directly, describing intense karstification and panoramic viewpoints from surrounding hills, adjacent to the Assemssil bridge tourism hub."
loc_00246,Panoramic view of badlands and cuesta,Easy,Medium,"Tourism sites (Morocco Magics, Serenity Morocco Tours) describe cresting the hills above Bin El Ouidane for the panoramic view -- implies short walk/drive off the main road, not a remote climb."
loc_00303,The spectacular land scapes overlooking the entire Bine El Ouidane dam are panoramic,Easy,Medium,Same hilltop-viewpoint tourism context as loc_00246.
loc_00056,The cliff granaries of Aoujgal,Difficult,High,"Well documented (Showcaves.com, geoparc-mgoun.ma, L'Opinion): recognized heritage/tourism site south of Boutferda, ~110km from Beni Mellal, but access is via a 700m wooden-and-stone staircase up a cliff face -- steep, physically demanding."
loc_00291,Massive oncolitic limestones of Fm BIII ( beginning of Middle-Upper regression),,Low,SKIP -- no independent source found beyond raw feature listing.
loc_00294,Footprints of Theropod & Sauropod dinosaurs ( Saurischia dinosaurs) in silt beds of Bathonian-age (165 Ma),Moderate,Low-Medium,"Appears only as an unnamed roadside stop in the generic 8-stop Bin El Ouidane geo-itinerary paper (R306/R302, described as reachable by car or on foot); no site-specific write-up found."
loc_00293,Passage of the marine carbonate deposits from FmBIII to the red layers (Middle and Upper Jurassic regression),Easy,Medium,Same Bin El Ouidane geo-itinerary paper context -- stops along R306/R302 reachable by car or on foot.
loc_00295,YellowishTilouguite Fm of Upper Bajocian-Lower Bathonian age,Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context.
loc_00292,"Black limestone beds of Fm BII with large ammonites  lamellibranchs, gasteropods, and polypiers",Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context (R306/R302 corridor).
loc_00241,Dinosaur footprints,Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context.
loc_00290,"Large lamellibranchs, gasteropods, and polypiers  (marl-limestones of Fm BII)",Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context.
loc_00289,"Overfold affecting the marl-limestones of Fm
 BII",Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context.
loc_00288,"Rhynchonella-type brachiopods and big gasteropds ( marl-limestones of Fm
 BII)",Easy,Medium,Same Bin El Ouidane geo-itinerary roadside-stop context.
loc_00243,Assif Assemssil Bridge,Easy,High,"Strong tourism footprint: multiple hotels near the bridge (Booking.com/Expedia listings for Hotel Bin el Ouidane), Ait Attab syncline paper describes karstified limestone/caves at the bridge -- genuine hospitality hub on a paved road."
loc_00309,Cavities and caves  on the left bank of the Assif Assemsil,Easy,High,Same Assemssil bridge tourism-hub context as loc_00243.
loc_00308,"Hotels, chalets and guest houses, coffee shop, and restaurants",Easy,High,Directly confirmed as a tourism/hospitality hub on the paved road at the Assemssil bridge.
loc_00286,Bine El Ouidane dam anchored in massive oncolithic limestones of the Fm BI,Easy,High,"Bin El Ouidane dam and STEP Afourer pumped-storage plant confirmed via French Wikipedia and engineering sources, connected by paved road (dashcam video exists of the Azilal-Afourer route)."
loc_00287,"Panoramic view on the Tadla plain and the Afourer
 pumped storage power station (PSPS)",Easy,High,Same STEP Afourer paved-road-access context as loc_00286.
loc_00240,"Watercourse, river, lake, dam",Easy,High,Same Bin El Ouidane dam paved-road-access context as loc_00286.
loc_00296,The first basalt flow (the major effusive event of Middle Jurassic),,Low,SKIP -- no independent tourism/trail description found beyond generic geo-itinerary stop listing.
loc_00242,Panoramic view of the Ouaouizaght Syncline,Moderate,Medium-High,"Ait Attab syncline paper: 'the hills offer superb panoramic views of the lake and the Ouaouizaght syncline,' reachable by trekking the slopes NW/SE of the lake -- a hike, not a roadside pulloff."
loc_00297,Panoramic view of the Ouaouizaght syncline (Cretaceous formation),Moderate,Medium-High,Same hillside-trek viewpoint context as loc_00242.
loc_00299,Euphorbia resinifiera (in Arabic Zakoum) couvering  the Iouardene Fm,Moderate,Medium,Historic suspension bridge over Oued El Abid at Ouaouizaghte documented (idpc.ma heritage inventory) on/near the R302 road corridor Azilal-Ait Bougemez.
loc_00298,Gypsum of the Iouaridene Fm of Lower Barremian (sabkha environment),Moderate,Medium,Same R302 corridor / Oued El Abid bridge context as loc_00299.
loc_00245,Oued el Abid Bridge,Moderate,Medium,Historic suspension bridge directly documented at Ouaouizaghte on the R302 corridor.
loc_00300,The basaltic flow B2  (The Major effusive Upper Barremian event),Moderate,Medium,Same R302 corridor / Oued El Abid bridge context.
loc_00301,Mio-Pliocene alluvial terraces,Moderate,Low-Medium,"Oued El Abid gorge reached 'most commonly from Azilal' via R302, described as partly gravel-surfaced; no outcrop-specific access text."
loc_00302,The acted conglomerates deposited by the ancient Oued El Abid River,Moderate,Low-Medium,Same Oued El Abid gorge / partly-gravel R302 context as loc_00301.
loc_00237,Fault-fold associated with the magmatic intrusion of Ait Boulmane,Moderate,High,Taguelft syncline paper (ScienceDirect/DOAJ 2022) explicitly describes Ait Boulmane with a published panoramic-view figure; text states infrastructure supports 'easy access for tourists and hikes.'
loc_00225,Gabroic Intrusion of Idemrane,Easy,High,Taguelft syncline paper explicitly describes a panoramic view from the R306 road directly at the Idemrane intrusion -- visible/reachable from a maintained regional road.
loc_00233,Basaltic flow B1,,Low,"SKIP -- listed only as one of 14 geosites in the Taguelft syncline inventory, no separate access text found."
loc_00236,Dyke of Taguelft,,Low,SKIP -- listed in the Taguelft inventory with no independent access description found.
loc_00230,Red facies of the Guettioua Fm,,Low,"SKIP -- likely part of the Jbel Sgat secondary geosite group per the Taguelft inventory, no independent access description found."
loc_00232,Dinosaur footprints of Ait wissadane,Moderate,Medium,"prehistoire-du-maroc.com: dinosaur skeleton excavated '1km west-southwest of the Ait Wissadane school' -- short walk from an inhabited village/school, off-road but not remote wilderness."
loc_00239,Folded structures Taghia-n-Ait Boulmane,Moderate,Medium,"Taguelft syncline paper: this Taghia-n-Ait Boulmane geosite (distinct from the famous Ahansal Taghia gorge) is '32km east of Jbel Sgat via a 5.5km carriageway, with several hiking trails available' -- maintained-road-plus-trail-network, not a remote trek."
