Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00359,Kardoud and Abdel Ali springs,,Low,SKIP -- no independent source found.
loc_00353,Accident of Izelfane,Difficult,Low-Medium,"Sits within the Boulemane fossil/geology cluster that Le360 describes as remote mountainous zones accessible only by unpaved tracks, not open to tourism -- regional-cluster inference, not site-specific."
loc_00354,Fossils of Ighzer Izelfane,Difficult,Low-Medium,Same Boulemane remote-cluster/unpaved-track context as loc_00353.
loc_00366,Boulemane,Easy,High,Provincial capital connected by paved roads to Fes (NW) and Er-Rachidia (S); reachable by car or bus from major cities (Wikipedia/Britannica/Trawellino).
loc_00355,Diapir of Tittaouine,Difficult,Low-Medium,Falls within the same restricted/unpaved-track fossil-and-geology zone south of Boulemane (Le360).
loc_00356,Salt mine of Tittaouine,,Low,"SKIP -- only analogy-based (generic regional salt-mine access patterns), not site-confirmed."
loc_00357,Tittaouine Spring,Difficult,Low,"Same remote cluster as the diapir/mine, weak analogy-based confidence."
loc_00358,Jbel Aghanja’s fold,,Low,SKIP -- no direct source confirmed for this specific fold.
loc_00367,Guigou valley,Moderate,Medium,"Guigou is a real inhabited settlement on the Guigou wadi with a Sunday livestock souq (Lonely Planet), banks settled/farmed."
loc_00374,El Mers,Moderate,Medium,"Small town/rural commune ~40-minute drive from Boulemane city by road, near 'Valley of Dinosaurs' tourist framing."
loc_00360,Calcite quarry,,Low,SKIP -- no independent source specific to this coordinate.
loc_00369,Taferdoust,Moderate,Low-Medium,"Populated locality/Kasba within Boulemane province's general road network, no specific route details found."
loc_00361,Sauropod footprints,Difficult,Medium-High,"El Mers syncline dinosaur tracksite: Le360 and academic sources describe this paleontological zone as remote, accessible only by unpaved track, drone-monitored, guarded, not open to general tourism."
loc_00371,Anchrif,Moderate,Medium,"Academic paper (ResearchGate, 3D Virtual Visit of the Paleontological Site of Anchrif) states it is ~1.5km west of Taghrout village -- short walkable distance from an inhabited village."
loc_00370,Taghrout,Moderate,Medium,"Inhabited village that hosted a Moroccan-Portuguese excavation expedition in 2013, implying vehicle access."
