Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00004,Bleida granodiorite,Difficult,Medium,"Bleida Mine locality, ~40km ESE of Bou Azzer, remote Anti-Atlas mining site (mindat.org, mining papers), no tourist infrastructure."
loc_00003,Oceanic Moho rocks,Moderate,Medium,Within the Bou Azzer ophiolite complex; Springer Geoheritage paper explicitly states 'relatively easy access to the area.'
loc_00002,Bou Offroh ophiolit,Moderate,Medium,"Same Bou Azzer ophiolite suite as loc_00003, same 'relatively easy access' academic source."
loc_00001,Eburnian-Proterozoic Unconformity,Easy,Medium,"Dist_to_Highway_m=9m -- essentially roadside, Zenaga inlier area. Geological context (Anti-Atlas Pan-African Belt, Bou Azzer district) is well documented in regional literature, but no source found gives a specific access description; class based on GIS proximity."
loc_00033,Anou N’Izm Tertiary strata,Easy,Low,"El Ouali et al. 2025, 'Inventory and quantitative assessment of geosites and geodiversity sites of the Tinghir-Dades-Imilchil area' (Int. J. Geoheritage & Parks 13(4):652-670) -- confirmed real (independently verified via web search), confirmed to cover this 25-site regional cluster, abstract confirms touristic potential rated high/very-high for all 25 sites (none low). Full text paywalled; per-site georoad claims from an AI research pass were NOT independently verifiable and one such claim was directly contradicted by this project's own Dist_to_Highway_m (a different site in the same claimed batch, loc_00038, was called 'on a georoad' despite being 13.2km from any paved road) -- so class here is based on confirmed paper membership + real GIS distance, not the unverified specific wording. Dist_to_Highway_m=688m, consistent with easy access though not literally roadside."
loc_00032,Imider Tertiary strata,Moderate,Medium,"Imider mine area: short paved road connects the mine to the main national road, rough dirt tracks beyond (ejatlas.org, mining reports) -- describes the mine area, not the exact outcrop."
loc_00025,Ait Snan Fault,Moderate,Low,"El Ouali et al. 2025, 'Inventory and quantitative assessment of geosites and geodiversity sites of the Tinghir-Dades-Imilchil area' (Int. J. Geoheritage & Parks 13(4):652-670) -- confirmed real (independently verified via web search), confirmed to cover this 25-site regional cluster, abstract confirms touristic potential rated high/very-high for all 25 sites (none low). Full text paywalled; per-site georoad claims from an AI research pass were NOT independently verifiable and one such claim was directly contradicted by this project's own Dist_to_Highway_m (a different site in the same claimed batch, loc_00038, was called 'on a georoad' despite being 13.2km from any paved road) -- so class here is based on confirmed paper membership + real GIS distance, not the unverified specific wording. Dist_to_Highway_m=3865m (~3.9km) -- real distance contradicts the 'Easy/roadside' claim made for this site; downgraded to Moderate given genuine distance from pavement, though the site is confirmed real and regionally studied."
loc_00031,Timaderouine Cretaceous-Tertiary strata,Easy,Low,"El Ouali et al. 2025, 'Inventory and quantitative assessment of geosites and geodiversity sites of the Tinghir-Dades-Imilchil area' (Int. J. Geoheritage & Parks 13(4):652-670) -- confirmed real (independently verified via web search), confirmed to cover this 25-site regional cluster, abstract confirms touristic potential rated high/very-high for all 25 sites (none low). Full text paywalled; per-site georoad claims from an AI research pass were NOT independently verifiable and one such claim was directly contradicted by this project's own Dist_to_Highway_m (a different site in the same claimed batch, loc_00038, was called 'on a georoad' despite being 13.2km from any paved road) -- so class here is based on confirmed paper membership + real GIS distance, not the unverified specific wording. Dist_to_Highway_m=841m, consistent with easy access though not literally roadside."
loc_00034,Ait Youl Basalts,Moderate,Medium,"Ait Youl is a documented roadside kasbah village 6.5km into the Dades Gorge on the paved valley road (Lonely Planet); village access confirmed, exact outcrop unclear."
loc_00030,Foum El Kouss Basalts,Moderate,Low-Medium,"Referenced west of Tinghir city in academic stratigraphy papers as an accessible geological section, no tourist path."
loc_00035,Ait Ibriren Quaternary deposits,Easy,Medium,"El Ouali et al. 2025, 'Inventory and quantitative assessment of geosites and geodiversity sites of the Tinghir-Dades-Imilchil area' (Int. J. Geoheritage & Parks 13(4):652-670) -- confirmed real (independently verified via web search), confirmed to cover this 25-site regional cluster, abstract confirms touristic potential rated high/very-high for all 25 sites (none low). Full text paywalled; per-site georoad claims from an AI research pass were NOT independently verifiable and one such claim was directly contradicted by this project's own Dist_to_Highway_m (a different site in the same claimed batch, loc_00038, was called 'on a georoad' despite being 13.2km from any paved road) -- so class here is based on confirmed paper membership + real GIS distance, not the unverified specific wording. Dist_to_Highway_m=53m, strongly consistent with roadside access."
loc_00021,Tamlalet Monkey’s fingers structures,Easy,High,"Matches the well-known 'Monkey Fingers' rock formations at Tamellalt village, a standard roadside stop on the Dades Gorge road (multiple tourism sites)."
loc_00036,Ait Ouglef Allochthonous limestones,Easy,Low,"El Ouali et al. 2025, 'Inventory and quantitative assessment of geosites and geodiversity sites of the Tinghir-Dades-Imilchil area' (Int. J. Geoheritage & Parks 13(4):652-670) -- confirmed real (independently verified via web search), confirmed to cover this 25-site regional cluster, abstract confirms touristic potential rated high/very-high for all 25 sites (none low). Full text paywalled; per-site georoad claims from an AI research pass were NOT independently verifiable and one such claim was directly contradicted by this project's own Dist_to_Highway_m (a different site in the same claimed batch, loc_00038, was called 'on a georoad' despite being 13.2km from any paved road) -- so class here is based on confirmed paper membership + real GIS distance, not the unverified specific wording. Dist_to_Highway_m=931m, consistent with easy access though not literally roadside; Perplexity independently found general Ait Ouglif trail-listing references but couldn't tie them specifically to this locality."
loc_00029,Tinghir Paleozoic-Cretaceous unconformity,Moderate,Low,"Near Tinghir town (paved roads, well connected), but no source describing the specific outcrop's access -- town-level inference only."
loc_00022,Tissadrine Folds,Moderate,Medium-High,Tissadrine Auberge sits just below the Dades hairpins; a marked intermediate-difficulty hiking trail leads to 'Tissadrine Plateau' (dades-trekking-tours.com).
