Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00726,Imi-n-Ifri natural bridge,Easy,High,"Multiple travel guides (Take Your Backpack, Atlas Nomads, Tripadvisor) confirm a paved road accessible year-round from Demnate (~6km) with public transport options; the bridge itself is a short 1-2hr walk from parking, no special skill needed."
loc_00727,"Dinosaur footprints, Iwariden",Easy,High,"prehistoire-du-maroc.com (Iroutlane-Iwariden site page) states the trackway is located ""about fifteen meters from the road"" near the marabout of Sidi Boielkhalf, i.e. essentially roadside."
loc_00728,Jbel Rat ascension,Difficult,Medium,"Peakery/PeakVisor/FastestKnownTime confirm a 3781m summit reached via the village of Agansou; travel descriptions note trails are ""not marked or maintained,"" recommending a local guide or GPS track -- a real, non-technical but remote high-mountain trek marketed as a multi-day ascension by trekking agency GEEKTRIP."
loc_00729,Jbel M'Goun ascension,Very Difficult,High,"Wikiloc routes (""trek ascension M'Goun 4068,"" ""Jbel Mgoun 4071m - Ait Bouguemaz"") describe a 4-day trek from Ait Bougmez to the Tarkeddit plateau, with a 4-6hr summit day along a ridge sustained above 4000m; second-highest peak in Morocco."
loc_00730,Ait Bouguemez valley trek,Moderate,High,"Trekking operators (climbingtoubkal.com, takeyourbackpack.com) rate the trail ""moderate""; valley floor is wide and flat with day-walk options between villages (Tabant, Agouti), reachable by public bus from Marrakech."
loc_00731,"Dinosaur footprints, Ibakaliwine",Easy,Medium,"Travel-guide description (pinyourfootsteps.com et al.) places the footprints inside the village of Ibaqalliwn near Tabant, reached via a stone staircase (~30 steps) through a tunnel, or a 20-minute drive/1hr walk from Tabant center -- signposted with an information board."
loc_00732,Hiking lake Izoughar,Moderate,Medium,"Lonely Planet and Wikiloc (""Ait bouguemaz -> lac izoughar"") describe an 11km round-trip hike from the village, ""pleasant hiking anytime of the year"" -- a real but manageable day hike."
loc_00733,Jbel Azourki ascension,Difficult,Medium,"Wikiloc trails for Jbel Azourki (3677m) are rated Moderate-to-Difficult technical grade; can be done as a one-day trek starting ~1850m altitude, ~25km by car from Tabant village -- significant elevation gain, no technical climbing required."
loc_00734,Taghia sources,Very Difficult,High,"UKClimbing destination guide and SummitPost/Pin Your Footsteps both describe Taghia village as ""accessible only on foot,"" one of the most isolated regions of the Atlas; reaching the gorges/sources takes ~6hrs hiking (often with donkeys), with associated climbing routes graded TD (Tres Difficile)."
loc_00735,Cliffs of Ait Abdi Plateau,Moderate,Medium,"Extrem-Sud trekking guide notes a modern bridge (inaugurated 2019) now allows vehicle crossing of the Assif Ait Abdi gorge, followed by a ~1km trail along the wadi to mountain shelters (azibs) and a hairpin ascent onto the plateau for trekking routes -- real hiking effort but not extreme."
