Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00212,Granite of Zaer,Easy,Medium,"Dist_to_Highway_m=73m -- Zaer country south of Rabat, well-served by paved rural roads through agricultural/forest hills. Prior note found only general quarrying/geological descriptions, no access-specific source, but road-proximity is a real, strong signal here."
loc_00215,The El Karit mine: fillonien complex with the Tin and tungsten,Difficult,High,Circuit C13 (Moroccan Ministry of Energy and Mines geological guidebook) coordinate-exact match: reached via paved road then a dirt piste ~3km to an abandoned mine.
loc_00216,The El Karit mine: giant andalusite,Difficult,High,"Same El Karit mine complex/access as loc_00215 (piste, ~3km off paved road), Circuit C13 guidebook."
loc_00213,Variscan synoro genic Granite of Oulmes,Moderate,High,Circuit C13 Stop 9 coordinate-exact match: reached via a 300m footpath to a small artisanal quarry showing the granite/andalousite-schist contact.
loc_00214,Oulmes Granite and metamorphism aureole contact,Moderate,High,Same Circuit C13 Stop 9 footpath access as loc_00213.
loc_00224,Quaternary Basal tic flow of El Harcha,Moderate,High,Circuit C13 coordinate-exact match: route described as zigzagging over 5-6km until El Harcha (altitude 900m) along a mapped road.
loc_00211,Westphalian red conglomerates,Moderate,High,"Circuit C13 Stop 7 coordinate-exact match, located 6km south of Tiddas, reachable by road/track from Tiddas village."
loc_00210,Tournaisian reefal limestones Olistoliths of Tiddas,Easy,High,"Circuit C13 Stop 6 coordinate-exact match, outcrops described as directly bordering the road."
loc_00205,Givetian reefal lime stones Stromatoporas,Moderate,Medium,"Falls within Circuit C13's Ain Jemaa Devonian reef cluster (Stop 15), reached via ~3km road/track continuation from the prior stop."
loc_00208,Famenno-Tournai sian calcareous (Mid Devonian reef limestones) rocks falls of Tiliouine,Moderate,Medium,Same Ain Jemaa Devonian reef cluster and access as loc_00205.
loc_00207,Givetian reefal lime stones Slump balls,Moderate,Low-Medium,"Within the same Tiliouine Devonian corridor documented by Circuit C13 Stops 13-15 (piste past a sanctuary, then road continuation), no exact stop match."
loc_00209,Middle Devonian reefal limestone olistoliths within the Tournisian turbid ites West of Tiliouine,Moderate,Low,"Dist_to_Highway_m=246m -- close to a paved road but reaching the actual limestone outcrops likely requires crossing wadis/footpaths in the Tiliouine valley (no independent source found, prior note; class based on regional geography + proximity, not a citation)."
loc_00206,Givetian reefal lime stones Algal laminitis,Moderate,Low-Medium,Within the Tiliouine Devonian corridor (same general road+track access as the other Givetian reef sites).
loc_00222,Visean-Miocene uncon,Easy,Medium,"Dist_to_Highway_m=1.7m -- essentially on the road, southeast of Skhirat/Rabat on the coastal/suburban fringe. Prior note found the coordinate falls outside Circuit C13's documented stops, but road-proximity signal here is unambiguous."
loc_00218,Autunian Trachy andesite of Tiddas,Moderate,Low,"Dist_to_Highway_m=73m -- close to paved road but the Tiddas-area volcanic exposures likely require a short hillside approach off the road (no independent source, prior note; class based on regional terrain + proximity)."
loc_00204,Upper Ordovician Quartzite slump balls,Easy,Medium,"Dist_to_Highway_m=2.4m -- effectively on the paved road itself, east of Tiflet in accessible agricultural land. No independent source found (prior note), but road-proximity signal here is unambiguous."
loc_00223,Triassic-Miocene uncon of Maaziz,Easy,Medium,"Matches the general area of Circuit C13 Stop 5C, along the road between Jemaa Houderrane and Maaziz village, essentially at/near the village itself."
loc_00221,Upper Trias sic evaporate (gypsum) of Khemisset,Easy,Medium,"Dist_to_Highway_m=95m -- on the outskirts of Khemisset, near the Rabat-Fes highway corridor. Prior note found a full doctoral thesis on this exact gypsum feature confirming it's well-studied, but no turn-by-turn access text; road-proximity + peri-urban location support Easy."
loc_00219,Permian Rhyolite of Souk Sebt,Easy,Medium,Dist_to_Highway_m=4.7m -- essentially roadside near Souk Sebt. Prior note found an MDPI U-Pb geochronology paper describing the geology but no access-specific text; road-proximity signal is strong and unambiguous here.
loc_00217,Autunian fluviatile channels volcano-detritic Red serie of Souk Sebt,Easy,Medium,"Dist_to_Highway_m=0.6m -- essentially on the road, near Souk Sebt. Same basin as loc_00219 (prior note); no independent access source, but proximity is unambiguous."
loc_00220,Triassic Basalts of Jbel Merzaga-Maaziz,Moderate,Low,"Dist_to_Highway_m=1.3m at the base, but Jbel Merzaga-Maaziz is a forested hill flank -- reaching the basalt layers themselves likely requires a short climb off the road (no independent source, prior note; class based on regional terrain + proximity)."
