Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00115,Draa double winged eye,,Low,"SKIP -- academic source exists (Draa Valley geoheritage inventory) but was blocked (403), no access detail retrievable."
loc_00106,Fam El Hisn water gap,Moderate,Medium,"Multiple Wikiloc off-road/4x4 GPS tracks pass directly through Foum el Hisn town; real town on a regional road, off-road trails thread the gap itself."
loc_00105,Icht water gap,Moderate,Low-Medium,"Icht is a real village at the foot of Jbel Bani escarpment, scenic stop near the Foum el Hisn corridor; no explicit access statement, inferred from town proximity."
loc_00131,Tamanart canyon,Difficult,Medium,"Documented trekking destination (Sun-Trails) requiring a local guide, day hike to multi-day trek; also a 35km MTB route through the valley."
loc_00087,Addan onion peels,,Low,"SKIP -- coordinates don't exactly match the academic paper's Addana Onion Peels point (loc_00133); do not conflate."
loc_00094,Ait Ouabelli chasms,,Low,"SKIP -- same coordinate-mismatch caveat as loc_00087."
loc_00133,Addana Onion Peels,Moderate,Medium,"Coordinates match the Fadli et al. 2019 geomorphosite inventory (Tata Province geotourism valorization paper) exactly; no explicit road/4x4 statement retrievable."
loc_00130,Ighir Ighnain gorge,,Low,"SKIP -- no independent source found."
loc_00104,Ait Ouabelli water gap,,Low,"SKIP -- Ait Ouabelli cited only as a reference town for other sites, no direct source for this water gap."
loc_00129,Tadakoust gorge,Moderate,Low-Medium,"Same site cluster as the Tadakoust Pyramids academic geosite; described via structural geology, not access."
loc_00092,Tadakoust Pyramids,Moderate,Medium,"Coordinates approximately match academic paper's Tadakoust Pyramids geomorphosite; described as ~15km WNW of Ait Oubelli, no explicit road-type statement."
loc_00095,Tagmout mask,Moderate,Low-Medium,"Same Tadakoust cluster context as loc_00092."
loc_00139,Pyramids of Tadakoust,Moderate,Medium,"Coordinates match the academic paper's Tadakoust Pyramids geomorphosite exactly (29d19m35sN 8d31m52sW), ~15km WNW of Ait Oubelli rural town."
loc_00098,Tamzrart Petrified waterfall,,Low,"SKIP -- no independent source found under this name."
loc_00128,Tamzrart gorge,,Low,"SKIP -- no independent source found."
