Locality_ID,Geosite_Name,Expert_Class,Confidence,Expert_Reasoning
loc_00263,Rounded hills of nepheline syenite,Moderate,Medium,Located next to Awsard on the road to Dakhla (Recommended Geoheritage Trails in Southern Morocco) -- roadside outcrop in a remote region.
loc_00264,Magmatic lineation,Moderate,Medium,Same site/access as loc_00263.
loc_00265,Dliyat N’sour migmatite with large basic blocks crosscut by granite veins,Moderate,Medium,"A ridge ~10km north of Awsard, close to the Dakhla road (same geoheritage trail source)."
loc_00267,Laglat mica-schists showing superimposed structures,Moderate,Medium,"Reached by a short drive on the road to Dakhla, part of the same geoheritage trail."
loc_00266,Awsard panorama,Very Difficult,High,"Awsard described (Roads & Kingdoms) as extremely remote: closest water well 12 miles away, nearest food market 160 miles away, 'more or less a ghost village.'"
loc_00261,Metabasite,Moderate,Medium,Road to Awsard crosses the largest metagabbro complex of the Adrar Souttouf massif -- roadside outcrop (ScienceDirect Adrar Souttouf geochemistry paper).
loc_00262,Metagabbro of the Adrar Souttouf massif,Moderate,Medium,Same roadside-outcrop access as loc_00261.
loc_00260,Neolithic engravings on Lower Cretaceous sandstones,Moderate,Medium,Engravings on red sandstone blocks on a small hill next to the road near Awsard (same geoheritage trail source).
loc_00256,Dewatering fold,Moderate,Low,"Part of the same southern-Morocco geoheritage trail (Izik deposits), no explicit road-access detail found beyond regional trail context."
loc_00257,Neptunian dyke in the Izik deposits,Moderate,Low,Same Izik-deposits geoheritage-trail context as loc_00256.
loc_00258,Shark tooth,Moderate,Low,Same Izik-deposits geoheritage-trail context as loc_00256.
loc_00259,Miocene-Pliocene succession,Moderate,Low,Same Izik-deposits geoheritage-trail context as loc_00256.
loc_00251,Typical coastal cliff of the Dakhla peninsula,Moderate,Medium,"Coastal road runs directly along the Atlantic cliff top near Dakhla, described as a scenic roadside drive (Dakhla tourism guides)."
loc_00252,North border of the Dakhla lagoon north of the artesian well,Moderate,Medium,Sphinx Rock cluster: isolated rock located close to the road to Awsard (geoheritage trail source).
loc_00253,Sphinx Rock,Moderate,Medium,Same Sphinx Rock roadside-access context as loc_00252.
loc_00254,Outcrops of Eocene formations beneath Miocene deposits,Moderate,Medium,Same Sphinx Rock cluster/roadside-access context.
