Locality_ID,Geosite_Name,Expert_Class
loc_00041,Intraformational unc,Easy
loc_00045,Fairy chimneys,Easy
loc_00047,Sedimentary patterns,Easy
loc_00052,Traces of Selenichnites- Tilmi syncline,Moderate
loc_00057,Archaeoctic limestone,Easy
loc_00070,Lake Afourgagh- charophytes tufas & gyrogonites,Moderate
loc_00080,Dolines of Ademame,Difficult
loc_00084,GueltaTameda Lake,Difficult
loc_00085,Taffert canyons,Moderate
loc_00087,Addan onion peels,Moderate
loc_00094,Ait Ouabelli chasms,Moderate
loc_00098,Tamzrart Petrified waterfall,Easy
loc_00101,Sidi Rezzoug water gap,Easy
loc_00104,Ait Ouabelli water gap,Easy
loc_00107,Tizgui Ida Ou Baloul water gap,Easy
loc_00108,Ibn Yaakoub water gap,Moderate
loc_00109,Rokan water gap,Moderate
loc_00110,Targant water gap,Easy
loc_00112,Desert mermaid,Difficult
loc_00113,Tata oyster,Difficult
loc_00114,Akka Phillyrea,Moderate
loc_00115,Draa double winged eye,Easy
loc_00116,Tagragra of Tata inlier,Moderate
loc_00118,Aigou inlier,Moderate
loc_00119,Tanmrout inlier,Moderate
loc_00120,Tagragra of Akka inlier,Moderate
loc_00122,Tlit gorge,Easy
loc_00124,Tagmout gorge,Easy
loc_00127,Targant gorge,Easy
loc_00128,Tamzrart gorge,Easy
loc_00130,Ighir Ighnain gorge,Moderate
loc_00136,Hearts of Tata,Moderate
loc_00140,Jbel Younech Ruiniform aspects,Moderate
loc_00141,Abdessamad cave,Moderate
loc_00142,Mujer Muerta,Easy
loc_00145,Jbel Chendir,Easy
loc_00146,Socio-cultural complex,Easy
loc_00147,The travertine terraces of Bel Younech,Easy
loc_00148,Low coast of the SBEI of Jbel Moussa and islands,Moderate
loc_00156,Echguiguen Site,Easy
loc_00162,Assaka Basin,Moderate
loc_00274,Zima Lake,Moderate
loc_00276,The flute casts of Punta Cires,Difficult
loc_00277,Current patterns and inverted series of the Tizirène nappe at Ksar Sghir,Easy
loc_00278,The sandstone-mica flysch of the Oued Ledian coast,Easy
loc_00279,Cap Malabata,Moderate
loc_00318,Oued Laou Gorge,Easy
loc_00356,Salt mine of Tittaouine,Easy
loc_00358,Jbel Aghanja’s fold,Moderate
loc_00359,Kardoud and Abdel Ali springs,Moderate
loc_00360,Calcite quarry,Easy
loc_00363,Ain Jdid,Moderate
loc_00373,Tadaout,Difficult
loc_00375,Fahs-Anjra (Melloussa),Moderate
loc_00376,The architectural heritage of Zaouiat Ahansal,Easy
loc_00377,Panorama of Zaouiat Ahansal,Moderate
loc_00380,Aït Blal Rock engravings,Moderate
loc_00381,Tizi-n-Tighist Geo landscape,Moderate
loc_00383,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,Easy
loc_00384,Jbel Azoukri Ait Attab synclinal (1),Difficult
loc_00386,"The Bin El Ouidane dam ""Chocolate Marls""",Easy
loc_00390,Collective granary of Sidi Moussa,Difficult
loc_00391,"Granary, Ighrem",Moderate
loc_00393,Herbivorous dinosaur footprints,Difficult
loc_00394,Izourar plateaus,Easy
loc_00395,Rock engravings of Tizi-n-Tighist,Easy
loc_00396,Sandstone-fault families,Easy
loc_00397,"Faiult mirror-gradin 
crystallization",Easy
loc_00398,Karst networks of barite,Easy
loc_00399,Calcite crystals,Easy
loc_00400,"Cambrian sandstone & shale,Gray massive Cambrian limestones",Easy
loc_00401,The western tip of the Cambrian crest,Easy
loc_00406,The caldera of the Michliffen,Easy
loc_00407,Ruiniform landscape,Difficult
loc_00409,Amsittene Fm,Easy
loc_00410,Id ou Moulid Fm,Easy
loc_00411,Arich Ouzella cave,Moderate
loc_00412,Subvertical strata,Easy
loc_00415,Fold hinge,Difficult
loc_00416,Cretaceous Quaternary contact,Difficult
loc_00417,Triple point,Difficult
loc_00419,Fossiliferous dunes,Easy
